,Hand_L,Hand_R,Elbow_L,Elbow_R,Forearm_L,Forearm_R,Shoulder_L,Shoulder_R,Shoulder_pitch_L,Shoulder_pitch_R
117,-3314.465361158626,2901.5138001545324,-1188.3388746089122,1688.2927877988632,2233.7951728727153,-2039.221159347786,-2266.4119761551874,2263.4833494238223,-153.36336159738556,-332.8213642093335
118,-3420.92592595586,2829.1195818851897,-1239.7591417525027,1726.7987087713818,2216.3500978895345,-1992.7076242168844,-2275.822805799223,2275.4297492193928,-152.1000547810348,-266.4285987725744
119,-3403.612626912045,2825.5254039748,-1256.0163921861583,1809.9807653867256,2239.380106566489,-1934.0311992624243,-2270.880951609322,2268.6972849251692,-94.08197527199732,-204.8654938188604
120,-3243.6802920388236,2901.911513067992,-1263.9919718752046,1831.247943019158,2317.7626076964825,-2167.950513736466,-2258.5487221199364,2234.4453192194305,-36.401666067470074,-140.42454987929818
121,-3111.185215401561,2911.1451442480297,-1344.548609664152,1795.6209544170074,2318.698328298536,-2313.536907717539,-2253.1326034338704,2231.140762125971,19.579153776121423,-30.09628502393369
122,-2796.5521315521014,2891.63134860634,-1353.4170201537884,1668.5679764696542,2398.3559209441305,-2505.582590974407,-2248.856905283228,2197.450805651376,84.09779540531778,41.11005365937385
123,-2867.753070876421,2890.17249561091,-1377.1431570149482,1684.9377111530746,2406.6151111055106,-2394.230602925438,-2251.9730880457782,2223.130812858643,125.92470256173566,16.178526455002746
124,-2851.2061484805204,2885.5443123148043,-1395.8850958808653,1688.661608134797,2415.3864353958174,-2452.7613875117568,-2257.5015634424426,2219.4193383171805,141.060118944302,2.8256986153003565
125,-2963.916844266079,3060.0273523541355,-1431.0852413674165,1718.2340892624732,2177.4090372671,-2275.9001819954447,-2262.19795032487,2208.767954421707,156.87717743442005,36.68358238649734
126,-3049.5640311821426,3160.379320409768,-1411.9398088606342,1568.3780649571459,2008.8906796691956,-2211.933163104305,-2268.1690071974,2234.1198203063673,266.58445732494306,71.6591428223026
127,-3058.864943807686,2930.095493465509,-1442.6996995275006,1450.0066446475985,1981.9255366986395,-2232.4076815597728,-2286.5831323514344,2252.772349970124,347.2993664237392,84.03381009209679
128,-3103.1034687838314,2900.444942326336,-1509.1659115439695,1495.5250095287947,2027.1153636663412,-2287.172990763771,-2282.6759442770162,2253.7809879677084,363.28411578102185,142.31658370555985
129,-3029.2855341774357,2968.156450638279,-1501.5957571767078,1499.1798208166165,2058.9355388170006,-2297.787770371905,-2274.35535931623,2263.3430328580116,418.08337079342067,204.3804731536707
130,-3167.268343619945,3009.051732751476,-1485.4846253381054,1569.5889898100634,2063.84410687417,-2362.0347572109717,-2266.339166384328,2246.1313932106386,459.0298462896096,216.28446425523111
131,-3204.4047680551853,3044.978080974979,-1482.3801182937857,1594.1994572526123,1997.461581750355,-2387.564003364138,-2273.826073861148,2247.626636076878,475.1269890817215,278.6094181699293
132,-3311.0000529744266,3133.1036086168956,-1545.1289846423274,1593.8895970095616,1872.2264243224954,-2462.2511983818026,-2283.09964437484,2252.0707194497218,584.3549855695372,378.2287847049489
